FrameNumber,PeopleCount,FrameTimePosition,Gender,EmotionsType1,EmotionsConfidence1,EmotionsType2,EmotionsConfidence2,EmotionsType3,EmotionsConfidence3,AgeRangeHigh,AgeRangelow
3,1,0:00:03,Female,75.46190643,CONFUSED,26.38483047,SAD,2.081793547,CALM,27,17
4,1,0:00:04,Female,61.08497238,CONFUSED,27.10623169,HAPPY,8.958684921,CONFUSED,43,26
5,1,0:00:05,Female,19.11996841,CONFUSED,18.65699387,CALM,11.28644371,SAD,43,26
6,1,0:00:06,Female,23.32816696,CONFUSED,16.45027351,CALM,5.738192558,CONFUSED,43,26
7,1,0:00:07,Female,54.97766876,CONFUSED,17.1056385,SAD,9.163969994,CONFUSED,43,26
8,1,0:00:08,Female,40.00923157,CONFUSED,5.607795715,CALM,4.242938995,SAD,27,17
10,1,0:00:10,Female,45.01558304,CONFUSED,8.486598969,CALM,3.819036484,CONFUSED,27,16
11,1,0:00:11,Female,32.64002228,CONFUSED,11.65820885,HAPPY,6.057441235,SAD,38,23
12,1,0:00:12,Female,41.35670853,CONFUSED,26.1450882,CALM,7.476883888,SAD,43,26
13,1,0:00:13,Female,34.77670288,CONFUSED,30.20356941,CALM,6.685537338,SAD,43,26
14,1,0:00:14,Female,38.07003021,CONFUSED,18.0622406,CALM,8.914393425,SAD,38,23
15,1,0:00:15,Female,65.91596985,CONFUSED,8.717716217,CALM,2.152484655,SAD,43,26
16,1,0:00:16,Female,34.97178268,CONFUSED,14.17826462,CALM,1.842868328,SAD,38,23
17,1,0:00:17,Female,47.18649673,CONFUSED,20.60861015,CALM,4.22605896,SAD,38,23
18,1,0:00:18,Female,55.28519821,CONFUSED,6.771868706,CALM,4.545265198,ANGRY,38,23
19,1,0:00:19,Female,20.13517952,CONFUSED,10.78040028,CALM,3.042536974,SAD,43,26
20,1,0:00:20,Female,76.28181458,CONFUSED,11.6458416,CALM,2.013939619,SAD,38,23
21,1,0:00:21,Female,36.51051712,CONFUSED,10.44827652,CALM,7.500415802,ANGRY,38,20
22,1,0:00:22,Female,77.74016571,CONFUSED,2.718400955,DISGUSTED,1.615321636,SURPRISED,36,19
23,1,0:00:23,Female,55.41719055,CONFUSED,4.770487785,SAD,3.161728382,CALM,43,26
24,1,0:00:24,Female,19.88640404,CONFUSED,19.46278572,HAPPY,4.506892204,SAD,43,26
25,1,0:00:25,Female,56.2083168,CONFUSED,17.53529358,CALM,4.42072773,SAD,38,23
26,1,0:00:26,Female,29.30839348,CONFUSED,11.97082996,CALM,2.52559185,SURPRISED,43,26
27,1,0:00:27,Female,39.43618393,CONFUSED,7.802034855,HAPPY,2.991002798,SAD,43,26
28,1,0:00:28,Female,55.40328217,CONFUSED,14.48504353,HAPPY,4.466241837,SAD,43,26
29,1,0:00:29,Female,65.5710907,CONFUSED,24.98307228,CALM,2.575105429,ANGRY,38,20
30,1,0:00:30,Female,64.51364136,CONFUSED,5.328202248,ANGRY,1.438689232,SURPRISED,38,23
31,1,0:00:31,Female,65.69029236,CONFUSED,6.131517887,ANGRY,3.32711339,CALM,38,23
